IP,bytes
128.104.66.*,4889
128.120.125.*,11359
128.120.153.*,480433
128.120.5.*,0
128.120.68.*,61554
128.138.177.*,387651
128.144.102.*,521757
128.148.245.*,3947
128.150.157.*,35238
128.158.53.*,73249
128.159.128.*,1052103
128.159.144.*,17074
128.159.146.*,18181
128.163.10.*,12130
128.163.17.*,212306
128.163.40.*,258067
128.165.180.*,92188
128.180.28.*,5388
128.192.24.*,2624
128.196.182.*,24398
128.206.30.*,4233
128.220.72.*,11746
128.227.109.*,19910
128.227.144.*,93175
128.227.152.*,343634
128.23.160.*,11747
128.252.99.*,325001
128.253.25.*,269703
128.255.51.*,32988
128.97.218.*,93203
129.108.62.*,12649
129.130.232.*,454963
129.132.182.*,97879
129.135.216.*,11747
129.15.32.*,120788
129.162.13.*,43686
129.162.205.*,23009
129.187.250.*,19910
129.190.221.*,15154
129.190.44.*,47742
129.193.171.*,3073
129.193.186.*,5830
129.219.187.*,16530
129.228.127.*,35792
129.237.223.*,12306
129.237.24.*,1274796
129.238.120.*,11746
129.243.129.*,104910
129.252.188.*,93362
129.252.21.*,60575
129.53.76.*,1140
129.57.33.*,14256
129.81.186.*,98546
129.93.222.*,11746
129.93.226.*,19259
129.93.229.*,11808
129.93.236.*,11747
129.96.209.*,4996
130.101.13.*,86425
130.127.84.*,12630
130.158.72.*,40575
130.19.10.*,957522
130.206.105.*,29733
130.207.94.*,23026
130.241.163.*,30666
130.38.73.*,17607
130.54.47.*,13603
130.95.42.*,9566
130.99.163.*,3842
131.110.56.*,37512
131.120.147.*,2624
131.126.30.*,175957
131.144.40.*,5327
131.167.25.*,814914
131.167.48.*,155930
131.167.99.*,325237
131.170.154.*,12588
131.178.81.*,152564
131.178.9.*,83630
131.181.38.*,35339
131.182.154.*,11747
131.182.170.*,8727
131.203.13.*,4889
131.215.67.*,32988
131.230.197.*,3073
131.247.150.*,11808
131.250.8.*,67624
131.44.53.*,4889
131.52.16.*,373394
131.90.176.*,8712
131.92.128.*,136556
131.92.168.*,225021
131.95.119.*,46091
132.170.199.*,114859
132.175.136.*,19488
132.236.38.*,13925
132.248.53.*,106260
132.74.12.*,69622
133.62.128.*,44317
134.116.4.*,4449
134.126.28.*,11590
134.136.91.*,14416
134.156.8.*,61456
134.164.40.*,11747
134.186.133.*,103336
134.186.191.*,24166
134.186.194.*,128164
134.186.196.*,168624
134.20.176.*,116624
134.20.62.*,130983
134.243.205.*,100679
134.243.230.*,15663
134.53.24.*,14507
134.53.98.*,39721
134.67.162.*,159505
134.67.195.*,11808
134.67.247.*,31613
134.67.39.*,17214
134.67.41.*,69511
134.67.57.*,83763
134.67.75.*,4888
134.7.60.*,32505
136.205.176.*,39957
136.205.18.*,29657
136.210.122.*,3710
137.113.193.*,35969
137.132.52.*,2235
137.159.177.*,14449
137.161.153.*,39435
137.187.102.*,5327
137.219.55.*,1162480
137.227.51.*,89877
137.229.144.*,16131
137.241.180.*,8618
137.243.44.*,52225
137.35.140.*,78093
137.44.6.*,9606
138.13.122.*,91352
138.145.14.*,24576
138.25.148.*,45491
138.26.154.*,11747
138.87.164.*,73569
138.87.174.*,252536
139.102.65.*,86042
139.104.10.*,85385
139.121.102.*,30593
139.121.50.*,598
139.121.79.*,134858
139.121.98.*,5041738
139.230.166.*,95929
139.94.97.*,39857
140.112.34.*,10297
140.112.68.*,7811
140.115.3.*,4889
140.120.29.*,11516
140.183.199.*,35176
140.90.166.*,73392
140.96.17.*,24866
141.161.18.*,444230
141.173.36.*,52522
141.173.58.*,177600
141.192.85.*,43782
141.209.3.*,1824
141.211.86.*,14484
141.233.130.*,103106
141.243.1.*,1754204
141.244.142.*,4889
142.106.186.*,11516
142.139.220.*,26138
142.140.32.*,54461
142.142.64.*,53501
142.2.32.*,34314
142.227.56.*,15204
142.25.2.*,84897
142.28.2.*,398729
142.36.4.*,10925
142.94.10.*,11808
143.139.25.*,15019
143.166.206.*,232810
143.188.9.*,42748
143.202.74.*,11746
144.207.78.*,134184
144.39.248.*,34095
144.51.21.*,14370
144.92.184.*,34212
144.92.46.*,24476
146.114.111.*,8280
146.114.26.*,228495
146.114.41.*,77075
146.129.161.*,19490
146.137.152.*,17330
146.138.12.*,11746
146.138.145.*,2750332
146.138.34.*,1079474
146.138.35.*,24439
146.142.48.*,81406
146.167.189.*,11747
146.184.114.*,199615
146.229.1.*,2624
146.63.206.*,5532
146.64.37.*,55178
146.83.128.*,1802
147.154.93.*,22125
147.160.9.*,489875
147.46.42.*,19645
147.46.54.*,100761
